"target","Predicted_classes"
"mammalia-bison-dominance","Spatial"
"mammalia-cattle-dominance","SF"
"mammalia-dolphin-florida-forage","Spatial"
"mammalia-dolphin-florida-overall","SF"
"mammalia-dolphin-florida-social","Spatial"
"mammalia-dolphin-floridatravel","Spatial"
"mammalia-dolphin-social","SW"
"mammalia-elephantseal-2010-2011","SF"
"mammalia-elephantseal-2011-2012","ER"
"mammalia-hyena-networka","Spatial"
"mammalia-hyena-networkb","Spatial"
"mammalia-hyena-networkc","Spatial"
"mammalia-kangaroo-interactions","Spatial"
"mammalia-macaque-contact-sits","SW"
"mammalia-macaque-dominance","SF"
"mammalia-macaque-grooming-bouts","SF"
"mammalia-primate-association-1","SF"
"mammalia-primate-association-10","SF"
"mammalia-primate-association-11","SF"
"mammalia-primate-association-12","Spatial"
"mammalia-primate-association-13","sbm"
"mammalia-primate-association-14","SF"
"mammalia-primate-association-15","SF"
"mammalia-primate-association-16","SF"
"mammalia-primate-association-3","Spatial"
"mammalia-primate-association-4","SF"
"mammalia-primate-association-5","SF"
"mammalia-primate-association-7","SF"
"mammalia-primate-association-8","SF"
"mammalia-primate-association-9","Spatial"
"mammalia-primate-association","Spatial"
"mammalia-raccoon-proximity-1","SF"
"mammalia-raccoon-proximity-10","Spatial"
"mammalia-raccoon-proximity-11","SF"
"mammalia-raccoon-proximity-12","Spatial"
"mammalia-raccoon-proximity-13","Spatial"
"mammalia-raccoon-proximity-14","Spatial"
"mammalia-raccoon-proximity-15","SF"
"mammalia-raccoon-proximity-16","Spatial"
"mammalia-raccoon-proximity-17","Spatial"
"mammalia-raccoon-proximity-19","Spatial"
"mammalia-raccoon-proximity-2","SF"
"mammalia-raccoon-proximity-20","Spatial"
"mammalia-raccoon-proximity-21","SF"
"mammalia-raccoon-proximity-22","Spatial"
"mammalia-raccoon-proximity-23","SF"
"mammalia-raccoon-proximity-24","Spatial"
"mammalia-raccoon-proximity-25","Spatial"
"mammalia-raccoon-proximity-26","Spatial"
"mammalia-raccoon-proximity-27","Spatial"
"mammalia-raccoon-proximity-28","Spatial"
"mammalia-raccoon-proximity-3","sbm"
"mammalia-raccoon-proximity-32","Spatial"
"mammalia-raccoon-proximity-33","SF"
"mammalia-raccoon-proximity-34","SF"
"mammalia-raccoon-proximity-35","SF"
"mammalia-raccoon-proximity-36","SF"
"mammalia-raccoon-proximity-37","SF"
"mammalia-raccoon-proximity-39","SF"
"mammalia-raccoon-proximity-4","Spatial"
"mammalia-raccoon-proximity-40","SF"
"mammalia-raccoon-proximity-41","Spatial"
"mammalia-raccoon-proximity-42","Spatial"
"mammalia-raccoon-proximity-43","SF"
"mammalia-raccoon-proximity-44","sbm"
"mammalia-raccoon-proximity-45","Spatial"
"mammalia-raccoon-proximity-46","SF"
"mammalia-raccoon-proximity-47","sbm"
"mammalia-raccoon-proximity-48","sbm"
"mammalia-raccoon-proximity-49","Spatial"
"mammalia-raccoon-proximity-5","SF"
"mammalia-raccoon-proximity-50","SF"
"mammalia-raccoon-proximity-51","Spatial"
"mammalia-raccoon-proximity-52","SF"
"mammalia-raccoon-proximity-6","SF"
"mammalia-raccoon-proximity-7","SF"
"mammalia-raccoon-proximity-8","SF"
"mammalia-raccoon-proximity-9","SF"
"mammalia-raccoon-proximity","Spatial"
"mammalia-sheep-dominance","Spatial"
"mammalia-spidermonkeys-contact","Spatial"
"mammalia-vampire-bats-foodsharing","SF"
"mammalia-voles-bhp-trapping-02","Spatial"
"mammalia-voles-bhp-trapping-04","SF"
"mammalia-voles-bhp-trapping-05","SF"
"mammalia-voles-bhp-trapping-06","Spatial"
"mammalia-voles-bhp-trapping-07","sbm"
"mammalia-voles-bhp-trapping-10","SF"
"mammalia-voles-bhp-trapping-11","SF"
"mammalia-voles-bhp-trapping-12","SF"
"mammalia-voles-bhp-trapping-13","Spatial"
"mammalia-voles-bhp-trapping-14","SF"
"mammalia-voles-bhp-trapping-16","SF"
"mammalia-voles-bhp-trapping-17","SF"
"mammalia-voles-bhp-trapping-18","SF"
"mammalia-voles-bhp-trapping-20","SF"
"mammalia-voles-bhp-trapping-21","Spatial"
"mammalia-voles-bhp-trapping-22","Spatial"
"mammalia-voles-bhp-trapping-23","Spatial"
"mammalia-voles-bhp-trapping-24","Spatial"
"mammalia-voles-bhp-trapping-25","Spatial"
"mammalia-voles-bhp-trapping-26","SF"
"mammalia-voles-bhp-trapping-27","SF"
"mammalia-voles-bhp-trapping-28","Spatial"
"mammalia-voles-bhp-trapping-29","SF"
"mammalia-voles-bhp-trapping-30","sbm"
"mammalia-voles-bhp-trapping-31","ER"
"mammalia-voles-bhp-trapping-36","SF"
"mammalia-voles-bhp-trapping-45","Spatial"
"mammalia-voles-bhp-trapping-46","SW"
"mammalia-voles-bhp-trapping-47","SF"
"mammalia-voles-bhp-trapping-48","SW"
"mammalia-voles-bhp-trapping-49","Spatial"
"mammalia-voles-bhp-trapping-50","SF"
"mammalia-voles-bhp-trapping-51","SF"
"mammalia-voles-bhp-trapping-55","Spatial"
"mammalia-voles-bhp-trapping-56","Spatial"
"mammalia-voles-bhp-trapping-57","SF"
"mammalia-voles-bhp-trapping-58","SF"
"mammalia-voles-bhp-trapping-59","SF"
"mammalia-voles-bhp-trapping-60","SW"
"mammalia-voles-bhp-trapping-61","SF"
"mammalia-voles-bhp-trapping-64","SF"
"mammalia-voles-bhp-trapping","SW"
"mammalia-voles-kcs-trapping-02","sbm"
"mammalia-voles-kcs-trapping-05","sbm"
"mammalia-voles-kcs-trapping-06","SF"
"mammalia-voles-kcs-trapping-07","SW"
"mammalia-voles-kcs-trapping-08","SF"
"mammalia-voles-kcs-trapping-09","SF"
"mammalia-voles-kcs-trapping-12","SF"
"mammalia-voles-kcs-trapping-13","Spatial"
"mammalia-voles-kcs-trapping-14","Spatial"
"mammalia-voles-kcs-trapping-15","sbm"
"mammalia-voles-kcs-trapping-16","SW"
"mammalia-voles-kcs-trapping-17","SF"
"mammalia-voles-kcs-trapping-18","Spatial"
"mammalia-voles-kcs-trapping-20","SF"
"mammalia-voles-kcs-trapping-21","Spatial"
"mammalia-voles-kcs-trapping-22","Spatial"
"mammalia-voles-kcs-trapping-23","Spatial"
"mammalia-voles-kcs-trapping-24","Spatial"
"mammalia-voles-kcs-trapping-25","SW"
"mammalia-voles-kcs-trapping-26","Spatial"
"mammalia-voles-kcs-trapping-27","Spatial"
"mammalia-voles-kcs-trapping-28","Spatial"
"mammalia-voles-kcs-trapping-29","Spatial"
"mammalia-voles-kcs-trapping-30","SF"
"mammalia-voles-kcs-trapping-32","SF"
"mammalia-voles-kcs-trapping-37","SF"
"mammalia-voles-kcs-trapping-46","SF"
"mammalia-voles-kcs-trapping-47","SW"
"mammalia-voles-kcs-trapping-48","Spatial"
"mammalia-voles-kcs-trapping-49","Spatial"
"mammalia-voles-kcs-trapping-50","Spatial"
"mammalia-voles-kcs-trapping-51","SF"
"mammalia-voles-kcs-trapping-55","Spatial"
"mammalia-voles-kcs-trapping-56","SF"
"mammalia-voles-kcs-trapping-57","SF"
"mammalia-voles-kcs-trapping-59","Spatial"
"mammalia-voles-kcs-trapping-60","SF"
"mammalia-voles-kcs-trapping-61","SW"
"mammalia-voles-kcs-trapping-63","ER"
"mammalia-voles-kcs-trapping","SW"
"mammalia-voles-plj-trapping-03","SF"
"mammalia-voles-plj-trapping-04","Spatial"
"mammalia-voles-plj-trapping-05","SF"
"mammalia-voles-plj-trapping-06","SF"
"mammalia-voles-plj-trapping-07","sbm"
"mammalia-voles-plj-trapping-09","SF"
"mammalia-voles-plj-trapping-10","sbm"
"mammalia-voles-plj-trapping-15","SF"
"mammalia-voles-plj-trapping-17","SF"
"mammalia-voles-plj-trapping-18","SF"
"mammalia-voles-plj-trapping-20","SF"
"mammalia-voles-plj-trapping-21","SF"
"mammalia-voles-plj-trapping-22","Spatial"
"mammalia-voles-plj-trapping-23","Spatial"
"mammalia-voles-plj-trapping-24","Spatial"
"mammalia-voles-plj-trapping-25","Spatial"
"mammalia-voles-plj-trapping-26","Spatial"
"mammalia-voles-plj-trapping-27","Spatial"
"mammalia-voles-plj-trapping-28","SF"
"mammalia-voles-plj-trapping-31","SF"
"mammalia-voles-plj-trapping-45","SF"
"mammalia-voles-plj-trapping-46","SF"
"mammalia-voles-plj-trapping-47","SF"
"mammalia-voles-plj-trapping-48","sbm"
"mammalia-voles-plj-trapping-49","SF"
"mammalia-voles-plj-trapping-59","Spatial"
"mammalia-voles-plj-trapping-60","SF"
"mammalia-voles-plj-trapping-61","SF"
"mammalia-voles-plj-trapping","SW"
"mammalia-voles-rob-trapping-02","SF"
"mammalia-voles-rob-trapping-03","SF"
"mammalia-voles-rob-trapping-04","SF"
"mammalia-voles-rob-trapping-05","SF"
"mammalia-voles-rob-trapping-06","Spatial"
"mammalia-voles-rob-trapping-07","SF"
"mammalia-voles-rob-trapping-10","SW"
"mammalia-voles-rob-trapping-11","Spatial"
"mammalia-voles-rob-trapping-12","SW"
"mammalia-voles-rob-trapping-13","Spatial"
"mammalia-voles-rob-trapping-14","Spatial"
"mammalia-voles-rob-trapping-16","sbm"
"mammalia-voles-rob-trapping-17","Spatial"
"mammalia-voles-rob-trapping-18","Spatial"
"mammalia-voles-rob-trapping-20","SW"
"mammalia-voles-rob-trapping-21","SF"
"mammalia-voles-rob-trapping-22","Spatial"
"mammalia-voles-rob-trapping-23","Spatial"
"mammalia-voles-rob-trapping-24","SF"
"mammalia-voles-rob-trapping-25","Spatial"
"mammalia-voles-rob-trapping-27","SF"
"mammalia-voles-rob-trapping-28","SW"
"mammalia-voles-rob-trapping-29","SF"
"mammalia-voles-rob-trapping-30","Spatial"
"mammalia-voles-rob-trapping-31","SF"
"mammalia-voles-rob-trapping-45","Spatial"
"mammalia-voles-rob-trapping-46","Spatial"
"mammalia-voles-rob-trapping-47","Spatial"
"mammalia-voles-rob-trapping-48","SF"
"mammalia-voles-rob-trapping-49","Spatial"
"mammalia-voles-rob-trapping-50","Spatial"
"mammalia-voles-rob-trapping-52","Spatial"
"mammalia-voles-rob-trapping-57","SF"
"mammalia-voles-rob-trapping-58","SF"
"mammalia-voles-rob-trapping-59","SF"
"mammalia-voles-rob-trapping-60","SW"
"mammalia-voles-rob-trapping-61","SW"
"mammalia-voles-rob-trapping-62","sbm"
"mammalia-voles-rob-trapping-63","sbm"
"mammalia-voles-rob-trapping","SW"
"mammalia-zebra-interaction","Spatial"
"reptilia-lizard-network-social","Spatial"
"reptilia-tortoise-network-bsv-1997","Spatial"
"reptilia-tortoise-network-bsv-1998","Spatial"
"reptilia-tortoise-network-bsv-1999","Spatial"
"reptilia-tortoise-network-bsv","Spatial"
"reptilia-tortoise-network-cs-2007","SF"
"reptilia-tortoise-network-cs-2008","Spatial"
"reptilia-tortoise-network-cs-2010","SF"
"reptilia-tortoise-network-cs","SF"
"reptilia-tortoise-network-fi-2008","Spatial"
"reptilia-tortoise-network-fi-2009","SF"
"reptilia-tortoise-network-fi-2010","SF"
"reptilia-tortoise-network-fi-2011","SW"
"reptilia-tortoise-network-fi-2012","SF"
"reptilia-tortoise-network-fi-2013","Spatial"
"reptilia-tortoise-network-fi","Spatial"
"reptilia-tortoise-network-lm-1998","SF"
"reptilia-tortoise-network-lm-1999","SF"
"reptilia-tortoise-network-lm","SF"
"reptilia-tortoise-network-mc","SF"
"reptilia-tortoise-network-pv-2012","SF"
"reptilia-tortoise-network-pv","SF"
"reptilia-tortoise-network-sg-1999","Spatial"
"reptilia-tortoise-network-sg","Spatial"
