"graph_name","weight_method","component_mode","baseline_class","n_thresholds_evaluated","n_distinct_predictions","classes_seen","prop_matching_baseline","stable","n_unclassifiable"
"insecta-ant-colony2-day38","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.3,FALSE,6
"insecta-ant-colony2-day39","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"insecta-ant-colony2-day40","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony2-day41","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
"insecta-ant-colony3","adjacency","full_network","ER",6,2,"ER, Spatial",0.333333333333333,FALSE,0
"insecta-ant-colony3-day01","adjacency","full_network","ER",10,3,"ER, SF, Spatial",0.1,FALSE,0
"insecta-ant-colony3-day02","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony3-day03","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
"insecta-ant-colony3-day04","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony3-day05","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony3-day06","adjacency","full_network","Spatial",10,1,"Spatial",0.3,TRUE,7
"insecta-ant-colony3-day07","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.9,FALSE,0
"insecta-ant-colony3-day08","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
"insecta-ant-colony3-day09","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony3-day10","adjacency","full_network","Spatial",10,1,"Spatial",0.9,TRUE,1
"insecta-ant-colony3-day11","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,3
"insecta-ant-colony3-day12","adjacency","full_network","Spatial",10,1,"Spatial",0.3,TRUE,7
"insecta-ant-colony3-day13","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,2
"insecta-ant-colony3-day14","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.9,FALSE,0
"insecta-ant-colony3-day15","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony3-day16","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony3-day17","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony3-day18","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony3-day19","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony3-day20","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony3-day21","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony3-day22","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony3-day23","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony3-day24","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony3-day25","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony3-day26","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"insecta-ant-colony3-day27","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony3-day28","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony3-day29","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony3-day30","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,3
"insecta-ant-colony3-day31","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,1
"insecta-ant-colony3-day32","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,1
"insecta-ant-colony3-day33","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,2
"insecta-ant-colony3-day34","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.9,FALSE,0
"insecta-ant-colony3-day35","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony3-day36","adjacency","full_network","Spatial",10,1,"Spatial",1,TRUE,0
"insecta-ant-colony3-day37","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"insecta-ant-colony3-day38","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony3-day39","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony3-day40","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony3-day41","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony4","adjacency","full_network","ER",6,3,"ER, Spatial, SW",0.166666666666667,FALSE,1
"insecta-ant-colony4-day01","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony4-day02","adjacency","full_network","Spatial",10,1,"Spatial",0.9,TRUE,1
"insecta-ant-colony4-day03","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony4-day04","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,7
"insecta-ant-colony4-day05","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.3,FALSE,5
"insecta-ant-colony4-day06","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,7
"insecta-ant-colony4-day07","adjacency","full_network","Spatial",10,1,"Spatial",0.3,TRUE,7
"insecta-ant-colony4-day08","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony4-day09","adjacency","full_network","Spatial",10,1,"Spatial",0.9,TRUE,1
"insecta-ant-colony4-day10","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,2
"insecta-ant-colony4-day11","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,2
"insecta-ant-colony4-day12","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony4-day13","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony4-day14","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,0
"insecta-ant-colony4-day15","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony4-day16","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.9,FALSE,0
