"Graph.Name","Captive","Interaction_type","Data_collection","Species","Data_duration_days","Class","target","Predicted_classes"
"insecta-ant-colony1-day21","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day21","Geometric Graphs"
"insecta-ant-colony1-day22","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day22","Geometric Graphs"
"insecta-ant-colony1-day23","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day23","Geometric Graphs"
"insecta-ant-colony1-day24","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day24","Geometric Graphs"
"insecta-ant-colony1-day25","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day25","Geometric Graphs"
"insecta-ant-colony1-day26","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day26","Geometric Graphs"
"insecta-ant-colony1-day27","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day27","Geometric Graphs"
"insecta-ant-colony1-day28","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day28","Geometric Graphs"
"insecta-ant-colony1-day29","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day29","Geometric Graphs"
"insecta-ant-colony1-day30","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day30","Geometric Graphs"
"insecta-ant-colony1-day31","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day31","Geometric Graphs"
"insecta-ant-colony1-day32","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day32","Geometric Graphs"
"insecta-ant-colony1-day33","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day33","Geometric Graphs"
"insecta-ant-colony1-day34","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day34","Geometric Graphs"
"insecta-ant-colony1-day35","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day35","Geometric Graphs"
"insecta-ant-colony1-day36","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day36","Geometric Graphs"
"insecta-ant-colony1-day37","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day37","Geometric Graphs"
"insecta-ant-colony1-day38","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day38","Geometric Graphs"
"insecta-ant-colony1-day39","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day39","Geometric Graphs"
"insecta-ant-colony1-day40","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day40","Geometric Graphs"
"insecta-ant-colony1-day41","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day41","Geometric Graphs"
"insecta-ant-colony1","Yes","Physical_contact","video","Camponotus_fellah",41,"Insecta","insecta-ant-colony1","Geometric Graphs"
"insecta-ant-colony2-day01","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day01","Geometric Graphs"
"insecta-ant-colony2-day02","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day02","Geometric Graphs"
"insecta-ant-colony2-day03","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day03","Geometric Graphs"
"insecta-ant-colony2-day04","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day04","Geometric Graphs"
"insecta-ant-colony2-day05","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day05","Geometric Graphs"
"insecta-ant-colony2-day06","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day06","Geometric Graphs"
"insecta-ant-colony2-day07","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day07","Geometric Graphs"
"insecta-ant-colony2-day08","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day08","Geometric Graphs"
"insecta-ant-colony2-day09","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day09","Geometric Graphs"
"insecta-ant-colony2-day10","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day10","Geometric Graphs"
"insecta-ant-colony2-day11","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day11","Geometric Graphs"
"insecta-ant-colony2-day12","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day12","Geometric Graphs"
"insecta-ant-colony2-day13","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day13","Geometric Graphs"
"insecta-ant-colony2-day14","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day14","Geometric Graphs"
"insecta-ant-colony2-day15","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day15","Geometric Graphs"
"insecta-ant-colony2-day16","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day16","Geometric Graphs"
"insecta-ant-colony2-day17","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day17","Geometric Graphs"
"insecta-ant-colony2-day18","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day18","Geometric Graphs"
"insecta-ant-colony2-day19","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day19","Geometric Graphs"
"insecta-ant-colony2-day20","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day20","Geometric Graphs"
"insecta-ant-colony2-day21","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day21","Geometric Graphs"
"insecta-ant-colony2-day22","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day22","Geometric Graphs"
"insecta-ant-colony2-day23","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day23","Geometric Graphs"
"insecta-ant-colony2-day24","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day24","Geometric Graphs"
"insecta-ant-colony2-day25","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day25","Geometric Graphs"
"insecta-ant-colony2-day26","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day26","Geometric Graphs"
"insecta-ant-colony2-day27","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day27","Geometric Graphs"
"insecta-ant-colony2-day28","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day28","Geometric Graphs"
"insecta-ant-colony2-day29","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day29","Geometric Graphs"
"insecta-ant-colony2-day30","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day30","Geometric Graphs"
"insecta-ant-colony2-day31","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day31","Geometric Graphs"
"insecta-ant-colony2-day32","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day32","Geometric Graphs"
"insecta-ant-colony2-day33","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day33","Geometric Graphs"
"insecta-ant-colony2-day34","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day34","Geometric Graphs"
