,GraphNames,order,edges,connected,max_component,minDegree,maxDegree,mean_degree,minCut,FiedlerValue,Normalized_FiedlerValue,closeness_centr,modularity,diameter,betw_centr,transitivity,threshold,spectral_radius,eigen_centr,deg_centr,mean_eccentr,radius,mean_path_length,graph_energy,min_triangle,mean_triangle,sd_triangle,max_triangle,num_triangle,deg_assort_coef
750,mammalia-voles-rob-trapping-27,20,27,1,20,1,7,2.7,1,0.123545315,0.049435231,0.017178285,0.502057613,7,0.524469067,0.38028169,0.275912754,3.62433409,0.742537781,0.226315789,5.6,4,3.189473684,27.2420639,0,1.35,1.308876577,4,27,-0.23100304
751,mammalia-voles-rob-trapping-28,35,50,1,35,1,5,2.857142857,1,0.019807217,0.007738304,0.004618322,0.6704,19,0.336033344,0.457627119,0.265577593,3.765377898,0.815363693,0.06302521,14.25714286,10,6.727731092,49.65802865,0,1.542857143,1.421326165,4,54,0.066943128
752,mammalia-voles-rob-trapping-29,20,25,1,20,1,5,2.5,1,0.041695113,0.016504314,0.011585949,0.5752,11,0.339489074,0.319148936,0.336934432,2.967936504,0.760447596,0.131578947,8.9,6,4.668421053,27.77868233,0,0.75,0.716350399,2,15,-0.121562952
753,mammalia-voles-rob-trapping-30,13,20,1,13,1,5,3.076923077,1,0.258101671,0.118008654,0.036010488,0.38875,5,0.301767677,0.578947368,0.235927449,4.238591164,0.599844385,0.16025641,3.923076923,3,2.435897436,18.53275451,0,2.538461538,2.875627022,6,33,0.4092827
754,mammalia-voles-rob-trapping-31,12,12,1,12,1,3,2,1,0.124008432,0.070667797,0.030271551,0.46875,7,0.461157025,0.176470588,0.409016058,2.444891784,0.628238537,0.090909091,5.583333333,4,3.136363636,14.49549894,0,0.25,0.452267017,1,3,-0.263157895
755,mammalia-voles-rob-trapping-32,9,9,1,9,1,3,2,1,0.165756816,0.089343316,0.046475686,0.438271605,6,0.473214286,0.272727273,0.441419493,2.265418758,0.623482198,0.125,4.777777778,3,2.805555556,10.92666333,0,0.333333333,0.5,1,3,-0.40625
756,mammalia-voles-rob-trapping-33,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
757,mammalia-voles-rob-trapping-34,5,5,1,5,1,3,2,1,0.697224362,0.565741454,0.163333333,0,3,0.375,0.428571429,0.434258546,2.302775638,0.420988605,0.25,2.4,2,1.6,5.841619253,0,0.6,0.547722558,1,3,-0.5625
758,mammalia-voles-rob-trapping-35,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
759,mammalia-voles-rob-trapping-36,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
760,mammalia-voles-rob-trapping-37,4,4,1,4,1,3,2,1,1,0.771286446,0.258333333,0,2,0.666666667,0.6,0.460811127,2.170086487,0.414956757,0.333333333,1.75,1,1.333333333,4.962388608,0,0.75,0.5,1,3,-0.714285714
761,mammalia-voles-rob-trapping-38,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
762,mammalia-voles-rob-trapping-39,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
763,mammalia-voles-rob-trapping-40,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
764,mammalia-voles-rob-trapping-43,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
765,mammalia-voles-rob-trapping-44,5,5,1,5,1,4,2,1,1,0.690983006,0.173809524,0.08,2,0.833333333,0.375,0.426817255,2.342923083,0.552358972,0.5,1.8,1,1.5,5.627213005,0,0.6,0.547722558,1,3,-0.805555556
766,mammalia-voles-rob-trapping-45,35,62,1,35,1,7,3.542857143,1,0.03441702,0.009777166,0.0060845,0.711498439,12,0.573922617,0.620689655,0.191931537,5.210191186,0.859437395,0.101680672,9.428571429,6,5.013445378,52.94820901,0,3.6,3.655777056,11,126,0.080467024
767,mammalia-voles-rob-trapping-46,60,115,1,60,1,9,3.833333333,1,0.022393346,0.007828104,0.003223175,0.718185255,15,0.315694063,0.549568966,0.152638399,6.551431417,0.886819397,0.087570621,11.56666667,8,5.60960452,92.896598,0,4.25,5.280681132,19,255,0.210781056
768,mammalia-voles-rob-trapping-47,74,157,1,74,1,14,4.243243243,1,0.031439941,0.010331703,0.003162539,0.710150513,12,0.573957213,0.52173913,0.14801636,6.756009959,0.87283554,0.133654202,9.297297297,6,4.573121066,117.8584772,0,5.351351351,5.367156418,21,396,0.032678671
769,mammalia-voles-rob-trapping-48,12,15,1,12,1,5,2.5,1,0.229685209,0.109623643,0.035744112,0.384444444,6,0.385123967,0.290322581,0.33719039,2.965683567,0.483201367,0.227272727,4.666666667,3,2.651515152,16.05403185,0,0.75,0.621581561,2,9,-0.462395543
770,mammalia-voles-rob-trapping-49,47,86,1,47,1,8,3.659574468,1,0.068600588,0.030205609,0.005369875,0.63750676,11,0.433037527,0.469648562,0.191426111,5.223947727,0.779705999,0.094357077,8.744680851,6,4.279370953,73.96998736,0,3.127659574,2.960735964,10,147,0.218091459
771,mammalia-voles-rob-trapping-50,37,73,1,37,1,10,3.945945946,1,0.077329101,0.027296081,0.007812953,0.627416026,9,0.370509994,0.572368421,0.173365785,5.768150858,0.810903811,0.168168168,6.837837838,5,3.725225225,57.91001742,0,4.702702703,4.569615015,15,174,0.073041611
772,mammalia-voles-rob-trapping-51,9,15,1,9,2,6,3.333333333,2,0.584437394,0.218251864,0.073600256,0.3,3,0.482142857,0.642857143,0.266843166,3.747519616,0.529088049,0.333333333,2.555555556,2,1.75,14.45015509,1,3,1.5,6,27,-0.224489796
773,mammalia-voles-rob-trapping-52,11,19,1,11,1,6,3.454545455,1,0.177529957,0.052167777,0.043774143,0.425207756,4,0.544444444,0.763636364,0.243249221,4.111010078,0.627586433,0.254545455,3.636363636,2,2.345454545,16.584471,0,3.818181818,2.358736179,6,42,-0.290870488
774,mammalia-voles-rob-trapping-53,5,5,1,5,1,3,2,1,0.697224362,0.565741454,0.163333333,0,3,0.375,0.428571429,0.434258546,2.302775638,0.420988605,0.25,2.4,2,1.6,5.841619253,0,0.6,0.547722558,1,3,-0.5625
